"","Name","Platform","Year_of_Release","Genre","Publisher","EU_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating","Name_imp","Platform_imp","Year_of_Release_imp","Genre_imp","Publisher_imp","EU_Sales_imp","Global_Sales_imp","Critic_Score_imp","Critic_Count_imp","User_Score_imp","User_Count_imp","Rating_imp"
"1","Wii Sports","Wii",2006,"Sports","Nintendo",28.96,82.54,76,51,8,324,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Super Mario Bros.","NES",1985,"Platform","Nintendo",3.58,40.24,73,10,7.5,14,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"3","Mario Kart Wii","Wii",2008,"Racing","Nintendo",12.8,35.57,82,73,8.3,712,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Wii Sports Resort","Wii",2009,"Sports","Nintendo",10.95,32.78,80,73,8,193,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Pokemon Red/Pokemon Blue","G",1996,"Role-Playing","Nintendo",8.89,31.37,73,10,7.5,14,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"6","Tetris","G",1989,"Puzzle","Nintendo",2.26,30.26,73,10,7.5,14,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"7","New Super Mario Bros.","DS",2006,"Platform","Nintendo",9.15,29.81,89,65,8.5,433,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Wii Play","Wii",2006,"Misc","Nintendo",9.18,28.92,58,41,6.6,129,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","New Super Mario Bros. Wii","Wii",2009,"Platform","Nintendo",6.95,28.38,87,80,8.4,595,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Duck Hunt","NES",1984,"Shooter","Nintendo",0.63,28.31,69,10,7.4,5,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"11","Nintendogs","DS",2005,"Simulation","Nintendo",10.95,24.67,67,17,7.1,8,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"12","Mario Kart DS","DS",2005,"Racing","Nintendo",7.48,23.22,91,64,8.6,465,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13","Pokemon Gold/Pokemon Silver","G",1999,"Role-Playing","Nintendo",6.18,23.1,64,12,6.7,8,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"14","Wii Fit","Wii",2007,"Sports","Nintendo",8.03,22.7,80,63,7.7,146,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15","Kinect Adventures!","X360",2010,"Misc","Microsoft Game Studios",4.91,21.86,61,45,6.3,106,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16","Wii Fit Plus","Wii",2009,"Sports","Nintendo",8.49,21.79,80,33,7.4,52,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17","Grand Theft Auto V","PS3",2013,"Action","Take-Two Interactive",9.14,21.12,97,50,8.2,4009,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18","Grand Theft Auto: San Andreas","PS2",2004,"Action","Take-Two Interactive",0.4,20.81,95,80,9,1606,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19","Super Mario World","SNES",1990,"Platform","Nintendo",3.75,20.61,73,10,7.5,14,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"20","Brain Age: Train Your Brain in Minutes a Day","DS",2005,"Misc","Nintendo",9.2,20.15,77,58,7.9,50,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21","Pokemon Diamond/Pokemon Pearl","DS",2006,"Role-Playing","Nintendo",4.46,18.25,74,18,7.65,16,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"22","Super Mario Land","G",1989,"Platform","Nintendo",2.71,18.14,73,10,7.5,14,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"23","Super Mario Bros. 3","NES",1988,"Platform","Nintendo",3.44,17.28,73,10,7.5,14,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"24","Grand Theft Auto V","X360",2013,"Action","Take-Two Interactive",5.17,16.3,97,58,8.1,3722,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
